"modeldataset","presabs","id","lat","long","elev_m","bio15_stream","SLOPE_stream","terrough20C_stream","bio12_stream","logbio12_stream","logDrainAre_stream"
"Stream ENM",0,"Pseudo12166",40.29125,-123.431250000333,935,86.0076370239258,0.00471136998385191,29.2623443603516,221.233993530273,5.40373085168918,0.512725551634733
"Stream ENM",0,"Pseudo12167",38.01625,-121.461250000333,0,50.866626739502,9.99999974737875e-06,3.30505704879761,62137.7109375,11.0371244382436,0.496968402916271
"Stream ENM",0,"Pseudo12168",36.8070833333333,-121.648750000333,64,0,0,22.6128177642822,0,0,0
"Stream ENM",0,"Pseudo12169",42.8004166666667,-123.617083333667,365,96.5191650390625,0.0119212698191404,115.664131164551,3051.89599609375,8.02384592602089,0.509964239945808
"Stream ENM",0,"Pseudo12170",38.51625,-122.516250000333,297,81.881477355957,0.0636557266116142,70.7096786499023,46.2109985351562,3.85462688525924,0.345371286183509
"Stream ENM",0,"Pseudo12171",39.0104166666667,-122.350416667,355,63.0852737426758,0.0441307500004768,40.7359733581543,11.4090003967285,2.51842204776351,0.682327839433276
"Stream ENM",0,"Pseudo12172",42.7129166666667,-123.447916667,684,128.784805297852,0.0507433786988258,115.789001464844,162.768005371094,5.09845082493529,0.52237023686085
"Stream ENM",0,"Pseudo12173",36.4854166666667,-121.757083333667,127,100.946334838867,0.031108470633626,82.4491348266602,125.337997436523,4.83896083475544,0.662324163722328
"Stream ENM",0,"Pseudo12174",38.2804166666667,-120.420416667,964,37.3704223632812,0.128908783197403,44.2213897705078,5.9980001449585,1.94562441465977,1.01798631193188
"Stream ENM",0,"Pseudo12175",43.2304166666667,-122.969583333667,345,114.493980407715,0.179275676608086,152.13151550293,90.4380035400391,4.51566118569657,0.656299528755694
"Stream ENM",0,"Pseudo12176",36.6770833333333,-119.513750000333,103,0,0,2.16947245597839,0,0,0
"Stream ENM",0,"Pseudo12177",40.3579166666667,-121.726250000333,916,76.4575958251953,0.119999997317791,90.5041275024414,467.739013671875,6.15004613950996,0.344737805810827
"Stream ENM",0,"Pseudo12178",37.7079166666667,-122.000416667,185,82.2899856567383,0.0301623307168484,34.5912628173828,21.753999710083,3.12474094137616,0.784217343053758
"Stream ENM",0,"Pseudo12179",37.12375,-121.153750000333,237,1.85959708690643,0.131000682711601,69.5242919921875,0.219999998807907,0.19885085776804,1.1350229409228
"Stream ENM",0,"Pseudo12180",39.8029166666667,-121.674583333667,563,63.7578239440918,0.10900904238224,68.1743316650391,17.0620002746582,2.89381029903502,0.9645324283438
"Stream ENM",0,"Pseudo12181",37.0070833333333,-121.885416667,132,60.1677894592285,0.0557041503489017,44.8417625427246,11.1750001907349,2.49938468463476,0.75664518615747
"Stream ENM",0,"Pseudo12182",37.64625,-120.412083333667,142,47.4163398742676,0.00646706018596888,28.8730487823486,6.80900001525879,2.05527691663454,0.810236389436626
"Stream ENM",0,"Pseudo12183",42.6929166666667,-124.386250000333,306,107.086517333984,0.0880315899848938,83.1052856445312,454.742004394531,6.12192686956402,0.562839455089528
"Stream ENM",0,"Pseudo12184",41.83125,-122.593750000333,620,63.467227935791,0.00161400996148586,70.4430847167969,26990.38671875,10.2032730836752,0.347320768316998
"Stream ENM",0,"Pseudo12185",39.1595833333333,-121.717083333667,15,0,0,0.883484661579132,0,0,0
"Stream ENM",0,"Pseudo12186",35.4970833333333,-120.198750000333,407,119.050712585449,0.00412146979942918,34.1960563659668,313.223999023438,5.75010610426501,0.598426025120773
"Stream ENM",0,"Pseudo12187",37.3854166666667,-119.284583333667,1013,84.6057205200195,0.00535607989877462,145.01091003418,16070.93359375,9.6848297746887,0.505993154423394
"Stream ENM",0,"Pseudo12188",36.1254166666667,-121.464583333667,678,86.0438079833984,0.157907322049141,52.6737480163574,37.0900001525879,3.6399517844965,0.662394053178076
"Stream ENM",0,"Pseudo12189",43.4904166666667,-123.751250000333,276,116.484642028809,0.0572278313338757,45.5736312866211,65.7170028686523,4.20045983600812,0.838174992577088
"Stream ENM",0,"Pseudo12190",36.7479166666667,-121.363750000333,295,9.38954544067383,0.0722122713923454,31.9806308746338,1.13699996471405,0.759402959825101,0.5572245219306
"Stream ENM",0,"Pseudo12191",39.0420833333333,-121.201250000333,281,98.9980087280273,0.0288913492113352,47.2044715881348,107.875,4.69020043517267,0.560657543028347
"Stream ENM",0,"Pseudo12192",43.1420833333333,-123.577916667,332,122.085014343262,0.018569840118289,40.9013404846191,350.253997802734,5.86150960222798,0.403511506582244
"Stream ENM",0,"Pseudo12193",37.6504166666667,-120.374583333667,229,65.7185440063477,0.0274227503687143,24.6188468933105,11.0769996643066,2.49130278949715,0.6835724645485
"Stream ENM",0,"Pseudo12194",38.49375,-121.281250000333,36,22.4165191650391,0.00362672004848719,3.20275473594666,2.42400002479553,1.23080946552118,1.06209358167249
"Stream ENM",0,"Pseudo12195",39.2779166666667,-122.224583333667,33,0,0,1.46769511699677,0,0,0
"Stream ENM",0,"Pseudo12196",36.0195833333333,-121.210416667,408,47.1866340637207,0.0182358101010323,23.2508335113525,6.80000019073486,2.05412375814873,0.883398102443807
"Stream ENM",0,"Pseudo12197",36.5104166666667,-119.004583333667,430,86.6296463012695,0.0996814370155334,115.181442260742,43.4640007019043,3.79467988878605,0.434025923201876
