"ID","site","Uplot","surv0","surv1","surv2","surv3","surv4","surv_end15","start","size1","size2","size3","size4","size1_ln","size2_ln","size3_ln","size4_ln","pFlower2014","fec2014","pFlower2015","fec2015"
"tran_579","COAST","COASTP02",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_580","COAST","COASTP02",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_583","COAST","COASTP02",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_582","COAST","COASTP02",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_586","COAST","COASTP02",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_568","COAST","COASTP03",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_569","COAST","COASTP03",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_574","COAST","COASTP03",0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,NA,NA,NA,NA
"tran_572","COAST","COASTP03",1,1,1,0,NA,0,NA,17,1,NA,NA,2.89037175789616,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_570","COAST","COASTP03",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_566","COAST","COASTP03",1,1,0,NA,NA,NA,NA,6,NA,NA,NA,1.94591014905531,NA,NA,NA,NA,NA,NA,NA
"tran_573","COAST","COASTP03",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_575","COAST","COASTP03",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_576","COAST","COASTP03",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_571","COAST","COASTP03",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_567","COAST","COASTP03",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_549","COAST","COASTP04",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_544","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_552","COAST","COASTP04",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_547","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_546","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_548","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,NA,NA,NA,NA
"tran_545","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_551","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_550","COAST","COASTP04",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_553","COAST","COASTP04",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_554","COAST","COASTP04",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_538","COAST","COASTP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_541","COAST","COASTP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_539","COAST","COASTP05",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_536","COAST","COASTP05",1,1,0,NA,NA,NA,NA,1,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,NA,NA
"tran_537","COAST","COASTP05",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_542","COAST","COASTP05",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_540","COAST","COASTP05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_543","COAST","COASTP05",1,1,1,0,NA,0,NA,1,1,NA,NA,0.693147180559945,0.693147180559945,NA,NA,0,NA,NA,NA
"tran_561","COAST","COASTP06",1,1,1,1,1,1,NA,3,10,5,51,1.38629436111989,2.39789527279837,1.79175946922805,3.95124371858143,0,NA,0,NA
"tran_558","COAST","COASTP06",1,1,1,1,1,1,NA,2,4,4,22,1.09861228866811,1.6094379124341,1.6094379124341,3.13549421592915,0,NA,0,NA
"tran_557","COAST","COASTP06",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_555","COAST","COASTP06",1,1,1,1,1,1,NA,49,57,28,133,3.91202300542815,4.06044301054642,3.36729582998647,4.89783979995091,0,NA,1,5
"tran_560","COAST","COASTP06",1,1,1,1,1,1,NA,49,65,11,69,3.91202300542815,4.18965474202643,2.484906649788,4.24849524204936,0,NA,0,NA
"tran_556","COAST","COASTP06",1,1,1,0,NA,0,NA,4,7,NA,NA,1.6094379124341,2.07944154167984,NA,NA,0,NA,NA,NA
"tran_559","COAST","COASTP06",1,1,1,1,1,1,NA,7,18,4,10,2.07944154167984,2.94443897916644,1.6094379124341,2.39789527279837,0,NA,0,NA
"tran_565","COAST","COASTP06",1,1,1,1,1,1,NA,3,9,9,90,1.38629436111989,2.30258509299405,2.30258509299405,4.51085950651685,0,NA,0,NA
"tran_562","COAST","COASTP06",1,1,1,0,NA,0,NA,42,48,NA,NA,3.76120011569356,3.89182029811063,NA,NA,0,NA,NA,NA
"tran_563","COAST","COASTP06",1,1,1,1,1,1,NA,52,157,27,300,3.97029191355212,5.06259503302697,3.3322045101752,5.70711026474888,0,NA,0,NA
"tran_564","COAST","COASTP06",1,1,1,1,1,1,NA,6,12,4,44,1.94591014905531,2.56494935746154,1.6094379124341,3.80666248977032,0,NA,0,NA
"tran_608","COAST","COASTP07",1,1,1,1,1,1,NA,53,88,17,305,3.98898404656427,4.48863636973214,2.89037175789616,5.72358510195238,0,NA,1,9
"tran_598","COAST","COASTP07",1,1,1,0,NA,0,NA,14,20,NA,NA,2.70805020110221,3.04452243772342,NA,NA,0,NA,NA,NA
"tran_602","COAST","COASTP07",1,1,1,1,1,1,NA,20,50,21,100,3.04452243772342,3.93182563272433,3.09104245335832,4.61512051684126,0,NA,0,NA
