SiteID,ID,Spp,PlotID,Region,Latitude,Longitude,Elevation,Class_10,NewPlot_10,PercFr_10,TotFr_10,TotFl_10,TotNFStLn_10,TotFlStLn_10,TotStLn_10,Class_11,NewPlot_11,PercFr_11,TotFr_11,TotFl_11,TotNFStLn_11,TotFlStLn_11,TotStLn_11,Class_12,NewPlot_12,PercFr_12,TotFr_12,TotFl_12,TotNFStLn_12,TotFlStLn_12,TotStLn_12,Surv1011,Surv1112
Beaver Creek,14948,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,28,NA,28,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14949,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,5,NA,5,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14950,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,6.5,NA,6.5,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14951,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,36,NA,36,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14952,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,24,NA,24,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14953,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,99,NA,99,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14954,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,34,NA,34,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14955,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,13,NA,13,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14956,C,91,N1,42.1145,-123.06,560,A,T,0,0,2,208,80,288,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,14957,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,45,NA,45,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,15350,C,91,N1,42.1145,-123.06,560,A,T,0,0,1,82,78,160,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,15351,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,8.5,NA,8.5,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek,15352,C,91,N1,42.1145,-123.06,560,J,T,NA,NA,NA,14,NA,14,E,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,15515,C,101,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,44.4,NA,44.4,A,F,0,0,1,30,35,65,J,F,NA,NA,NA,17,NA,17,1,1
Buck Meadows,15547,C,102,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,J,F,NA,NA,NA,25,NA,25,J,F,NA,NA,NA,41,NA,41,NA,1
Buck Meadows,15761,C,104,C2,37.77722,-120.06331,830,A,F,0.526315789,10,19,25,217,242,A,F,0,0,1,168,64,232,J,F,NA,NA,NA,138,NA,138,1,1
Buck Meadows,15764,C,104,C2,37.77722,-120.06331,830,A,F,0.5,1,2,NA,120,120,A,F,0.383333333,23,60,67,462,529,A,F,0.166666667,1.333333333,8,590.2,263,853.2,1,1
Buck Meadows,15811,C,106,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,15850,C,107,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,15935,C,107,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,15962,C,108,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,40,NA,40,J,F,NA,NA,NA,43,NA,43,NA,F,NA,NA,NA,NA,NA,NA,1,NA
Buck Meadows,16077,C,108,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16335,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,10,NA,10,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16336,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,19,NA,19,A,F,1,2,2,NA,31,31,A,F,0,0,2,NA,25,25,1,1
Buck Meadows,16337,C,109,C2,37.77722,-120.06331,830,A,F,0.47826087,13.2,27.6,302,514.8,816.8,A,F,0.222222222,9.6,43.2,145,707.2,852.2,A,F,0.1,1,10,211,256,467,1,1
Buck Meadows,16338,C,109,C2,37.77722,-120.06331,830,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16411,C,108,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
