"Surv","z","z1","Repr","Fec","SiteID","PlotID","Region","ID","NewPlot_11","NewPlot_12","Year"
NA,2,NA,0,NA,"Carlon",19,"C2",59491,FALSE,FALSE,"1213"
NA,4,NA,0,NA,"Carlon",19,"C2",59494,FALSE,FALSE,"1213"
NA,5,NA,0,NA,"Carlon",18,"C2",59495,FALSE,FALSE,"1213"
NA,10,NA,0,NA,"Carlon",18,"C2",59496,FALSE,FALSE,"1213"
NA,5,NA,0,NA,"Carlon",18,"C2",59497,FALSE,FALSE,"1213"
NA,9,NA,0,NA,"Carlon",18,"C2",59498,FALSE,FALSE,"1213"
NA,11,NA,0,NA,"Carlon",18,"C2",59499,FALSE,FALSE,"1213"
NA,215.6,NA,1,5,"Carlon",18,"C2",59500,FALSE,FALSE,"1213"
NA,39,NA,0,NA,"Carlon",18,"C2",59501,FALSE,FALSE,"1213"
NA,41,NA,0,NA,"Carlon",18,"C2",59502,FALSE,FALSE,"1213"
NA,19,NA,0,NA,"Carlon",18,"C2",59503,FALSE,FALSE,"1213"
NA,105,NA,1,4,"Carlon",18,"C2",59504,FALSE,FALSE,"1213"
NA,8,NA,0,NA,"Carlon",18,"C2",59505,FALSE,FALSE,"1213"
NA,66,NA,0,NA,"Carlon",18,"C2",59506,FALSE,FALSE,"1213"
NA,7,NA,0,NA,"Carlon",18,"C2",59507,FALSE,FALSE,"1213"
NA,6,NA,0,NA,"Carlon",18,"C2",59508,FALSE,FALSE,"1213"
NA,0.5,NA,0,NA,"Carlon",19,"C2",59509,FALSE,FALSE,"1213"
NA,4,NA,0,NA,"Carlon",19,"C2",59511,FALSE,FALSE,"1213"
NA,2,NA,0,NA,"Carlon",19,"C2",59512,FALSE,FALSE,"1213"
NA,9,NA,0,NA,"Carlon",19,"C2",59514,FALSE,FALSE,"1213"
NA,70,NA,1,1,"Carlon",19,"C2",59516,FALSE,FALSE,"1213"
NA,64,NA,0,NA,"Carlon",18,"C2",59518,FALSE,FALSE,"1213"
NA,8,NA,0,NA,"Carlon",18,"C2",59519,FALSE,FALSE,"1213"
NA,38,NA,0,NA,"Cherokee Creek",83,"C3",15212,FALSE,FALSE,"1213"
NA,370,NA,0,NA,"Cherokee Creek",83,"C3",15213,FALSE,FALSE,"1213"
NA,267,NA,0,NA,"Cherokee Creek",83,"C3",15215,FALSE,FALSE,"1213"
NA,134,NA,0,NA,"Cherokee Creek",83,"C3",15217,FALSE,FALSE,"1213"
NA,51,NA,0,NA,"Cherokee Creek",83,"C3",15219,FALSE,FALSE,"1213"
NA,332.2,NA,0,NA,"Cherokee Creek",83,"C3",15220,FALSE,FALSE,"1213"
NA,75,NA,0,NA,"Cherokee Creek",83,"C3",15221,FALSE,FALSE,"1213"
NA,11,NA,0,NA,"Cherokee Creek",83,"C3",15222,FALSE,FALSE,"1213"
NA,159.3,NA,0,NA,"Cherokee Creek",84,"C3",15224,FALSE,FALSE,"1213"
NA,74,NA,1,0,"Cherokee Creek",84,"C3",15230,FALSE,FALSE,"1213"
NA,26,NA,0,NA,"Cherokee Creek",84,"C3",15232,FALSE,FALSE,"1213"
NA,52,NA,1,0,"Cherokee Creek",84,"C3",15233,FALSE,FALSE,"1213"
NA,42,NA,0,NA,"Cherokee Creek",84,"C3",15235,FALSE,FALSE,"1213"
NA,160,NA,0,NA,"Cherokee Creek",84,"C3",15236,FALSE,FALSE,"1213"
NA,10,NA,0,NA,"Cherokee Creek",84,"C3",15238,FALSE,FALSE,"1213"
NA,1227.6,NA,0,NA,"Cherokee Creek",84,"C3",15239,FALSE,FALSE,"1213"
NA,88.8,NA,0,NA,"Cherokee Creek",84,"C3",15240,FALSE,FALSE,"1213"
NA,890.4,NA,0,NA,"Cherokee Creek",84,"C3",15241,FALSE,FALSE,"1213"
NA,228,NA,0,NA,"Cherokee Creek",84,"C3",15242,FALSE,FALSE,"1213"
NA,468.4,NA,1,2,"Cherokee Creek",84,"C3",15243,FALSE,FALSE,"1213"
NA,11,NA,0,NA,"Cherokee Creek",84,"C3",15244,FALSE,FALSE,"1213"
NA,73,NA,0,NA,"Cherokee Creek",84,"C3",15245,FALSE,FALSE,"1213"
