ID,GROUP,CODE,SITE,PLOT,SUBSTRATE,silt,sand,gravel,cobble,boulder,slab,H_silt,H_sand,H_gravel,H_cobble,H_boulder,H_slab,SUM,aspect,Densi_raw_Mean,Asp_Expo,Densi_cover,Particle_mean,Particle_even,moist_score,Vert _dist_wat,Horiz_dist_to_wat,tot_area_Seasonal,plot_slope,WatAREA__to_bankAREA,
1,1,LOOK P06.2,LOOK,P06,cobble,0,25,10,45,20,0,#NUM!,-3.E-01,-2.E-01,-4.E-01,-3.E-01,#NUM!,100,130,55,50,57.2,0.7675,1.26,4,0.22,14.01,3.99,0.03,0.04,
1,1,LOOK P07.2,LOOK,P07,sand,30,45,0,25,0,0,-4.E-01,-4.E-01,#NUM!,-3.E-01,#NUM!,#NUM!,100,70,10,110,10.4,0.2875,1.07,2.5,0.04,14.00,2.03,0.02,0.07,
1,1,LOOK P08.2,LOOK,P08,sand,30,45,5,20,0,0,-4.E-01,-4.E-01,-1.E-01,-3.E-01,#NUM!,#NUM!,100,50,25.5,130,26.52,0.2625,1.19,3.5,0.16,9.31,1.581,0.03,0.34,
1,1,LOOK P09.2,LOOK,P09,cobble,10,5,5,70,10,0,-2.E-01,-1.E-01,-1.E-01,-2.E-01,-2.E-01,#NUM!,100,50,12,130,12.48,0.8375,1.01,3,0.16,9.31,1.581,0.03,0.34,
1,1,LOOK P10.2,LOOK,P10,gravel,5,15,45,20,10,5,-1.E-01,-3.E-01,-4.E-01,-3.E-01,-2.E-01,-1.E-01,100,100,65.5,80,68.12,0.6175,1.50,4,0.15,5.01,0.875,0.07,0.5,
1,1,LOOK P11.2,LOOK,P11,cobble,0,10,5,85,0,0,#NUM!,-2.E-01,-1.E-01,-1.E-01,#NUM!,#NUM!,100,180,6,0,6.24,0.89,0.52,2.5,0.28,8.84,3.696,0.11,0.44,
1,1,LOOK P12.2,LOOK,P12,cobble,0,5,10,80,5,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-1.E-01,#NUM!,100,170,11,10,11.44,0.915,0.71,2.5,0.28,8.84,3.696,0.11,0.44,
1,1,ROCK P09.2,ROCK,P09,cobble,0,10,5,75,10,0,#NUM!,-2.E-01,-1.E-01,-2.E-01,-2.E-01,#NUM!,100,360,26,180,27.04,0.905,0.83,2.5,0.30,5.70,4.125,0.29,0.09,
1,1,ROCK P10.2,ROCK,P10,cobble,0,10,10,70,10,0,#NUM!,-2.E-01,-2.E-01,-2.E-01,-2.E-01,#NUM!,100,360,32,180,33.28,0.88,0.94,2,0.55,3.29,1.2,0.16,0.77,
1,1,ROCK P07.2,ROCK,P07,cobble,0,5,10,75,10,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-2.E-01,#NUM!,100,180,46,0,47.84,0.9225,0.83,2,0.48,2.90,1.05,0.25,2.37,
1,1,ROCK P06.2,ROCK,P06,cobble,0,10,5,75,10,0,#NUM!,-2.E-01,-1.E-01,-2.E-01,-2.E-01,#NUM!,100,130,66.5,50,69.16,0.905,0.83,4,0.60,3.82,1.739,0.23,2.08,
1,1,ROCK P05.2,ROCK,P05,cobble,0,10,5,75,10,0,#NUM!,-2.E-01,-1.E-01,-2.E-01,-2.E-01,#NUM!,100,150,63.5,30,66.04,0.905,0.83,3.5,0.26,4.07,1.52,0.22,0.52,
1,1,ROCK P04.2,ROCK,P04,cobble,0,30,10,50,10,0,#NUM!,-4.E-01,-2.E-01,-3.E-01,-2.E-01,#NUM!,100,120,42.5,60,44.2,0.71,1.17,4,0.42,3.29,1.232,0.28,2.29,
1,1,ROCK P03.2,ROCK,P03,sand,0,65,10,5,20,0,#NUM!,-3.E-01,-2.E-01,-1.E-01,-3.E-01,#NUM!,100,130,66,50,68.64,0.4275,0.98,3.5,0.44,2.68,1.2125,0.41,0.9,
1,1,ROCK P02.2,ROCK,P02,cobble,0,20,15,55,10,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-2.E-01,#NUM!,100,120,72.5,60,75.4,0.77,1.17,3.5,0.44,2.80,1.365,0.44,0.72,
1,1,ROCK P01.2,ROCK,P01,cobble,0,15,10,65,10,0,#NUM!,-3.E-01,-2.E-01,-3.E-01,-2.E-01,#NUM!,100,100,73.5,80,76.44,0.8375,1.03,3,0.46,6.45,2.56,0.20,5.86,
1,1,ROCK P14.2,ROCK,P14,cobble,0,5,20,70,5,0,#NUM!,-1.E-01,-3.E-01,-2.E-01,-1.E-01,#NUM!,100,180,55.5,0,57.72,0.865,0.87,3,0.26,5.33,1.4045,0.10,0.8,
1,1,ROCK P13.2,ROCK,P13,cobble,0,2.5,2.5,65,30,0,#NUM!,-9.E-02,-9.E-02,-3.E-01,-4.E-01,#NUM!,100,360,45,180,46.8,1.01125,0.83,3,0.26,5.33,1.4045,0.10,0.8,
